-50, 10000754.0, 10000755.0, 10000756.0, 10000757.0, 10000758.0, 10000759.0, 10000760.0, 10000761.0, 10000762.0, 10000763.0, 
-49, 10000764.0, 10000765.0, 10000766.0, 10000767.0, 10000768.0, 10000769.0, 10000770.0, 10000771.0, 10000772.0, 10000773.0, 
-48, 10000774.0, 10000775.0, 10000776.0, 10000777.0, 10000778.0, 10000779.0, 10000780.0, 10000781.0, 10000782.0, 10000783.0, 
-47, 10000784.0, 10000785.0, 10000786.0, 10000787.0, 10000788.0, 10000789.0, 10000790.0, 10000791.0, 10000792.0, 10000793.0, 
-46, 10000794.0, 10000795.0, 10000796.0, 10000797.0, 10000798.0, 10000799.0, 10000800.0, 10000801.0, 10000802.0, 10000803.0, 
-45, 10000804.0, 10000805.0, 10000806.0, 10000807.0, 10000808.0, 10000809.0, 10000810.0, 10000811.0, 10000812.0, 10000813.0, 
-44, 10000814.0, 10000815.0, 10000816.0, 10000817.0, 10000818.0, 10000819.0, 10000820.0, 10000821.0, 10000822.0, 10000823.0, 
-43, 10000824.0, 10000825.0, 10000826.0, 10000827.0, 10000828.0, 10000829.0, 10000830.0, 10000831.0, 10000832.0, 10000833.0, 
-42, 10000834.0, 10000835.0, 10000836.0, 10000837.0, 10000838.0, 10000839.0, 10000840.0, 10000841.0, 10000842.0, 10000843.0, 
-41, 10000844.0, 10000845.0, 10000846.0, 10000847.0, 10000848.0, 10000849.0, 10000850.0, 10000851.0, 10000852.0, 10000853.0, 
-40, 10000854.0, 10000855.0, 10000856.0, 10000857.0, 10000858.0, 10000859.0, 10000860.0, 10000861.0, 10000862.0, 10000863.0, 
-39, 10000000.0, 10000001.0, 10000002.0, 10000003.0, 10000004.0, 10000005.0, 10000006.0, 10000007.0, 10000008.0, 10000009.0, 
-38, 10000010.0, 10000011.0, 10000012.0, 10000013.0, 10000014.0, 10000015.0, 10000016.0, 10000017.0, 10000018.0, 10000019.0, 
